qaccver	saccver	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	sstrand
22CCRAA000_F08_premix	refseq|NC_002947.4|chromosome	99.431	527	1	2	103	629	2553031	2553555	0.0	955	plus
22CCRAA000_F08_premix	refseq|NC_002947.4|chromosome	99.431	527	1	2	103	629	5308275	5307751	0.0	955	minus
22CCRAA000_F11_premix	refseq|NC_002947.4|chromosome	97.852	512	10	1	107	617	309584	310095	0.0	883	plus
22CCRAA000_G01_premix	refseq|NC_002947.4|chromosome	98.267	404	6	1	102	505	172270	172672	0.0	706	plus
22CCRAA000_G01_premix	refseq|NC_002947.4|chromosome	98.267	404	6	1	102	505	177700	178102	0.0	706	plus
22CCRAA000_G01_premix	refseq|NC_002947.4|chromosome	98.267	404	6	1	102	505	525830	526232	0.0	706	plus
22CCRAA000_G01_premix	refseq|NC_002947.4|chromosome	98.267	404	6	1	102	505	1326384	1326786	0.0	706	plus
22CCRAA000_G01_premix	refseq|NC_002947.4|chromosome	98.020	404	7	1	102	505	698705	699107	0.0	701	plus
22CCRAA000_G01_premix	refseq|NC_002947.4|chromosome	98.020	404	7	1	102	505	2549571	2549973	0.0	701	plus
22CCRAA000_G01_premix	refseq|NC_002947.4|chromosome	98.020	404	7	1	102	505	5311800	5311398	0.0	701	minus
22CCRAA000_G02_premix	refseq|NC_002947.4|chromosome	98.759	806	9	1	74	879	4739886	4740690	0.0	1432	plus
22CCRAA000_G04_premix	refseq|NC_002947.4|chromosome	100.000	420	0	0	101	520	175622	176041	0.0	776	plus
22CCRAA000_G04_premix	refseq|NC_002947.4|chromosome	100.000	420	0	0	101	520	181052	181471	0.0	776	plus
22CCRAA000_G04_premix	refseq|NC_002947.4|chromosome	100.000	420	0	0	101	520	529182	529601	0.0	776	plus
22CCRAA000_G04_premix	refseq|NC_002947.4|chromosome	100.000	420	0	0	101	520	702270	702689	0.0	776	plus
22CCRAA000_G04_premix	refseq|NC_002947.4|chromosome	100.000	420	0	0	101	520	1329736	1330155	0.0	776	plus
22CCRAA000_G04_premix	refseq|NC_002947.4|chromosome	100.000	420	0	0	101	520	2553136	2553555	0.0	776	plus
22CCRAA000_G04_premix	refseq|NC_002947.4|chromosome	100.000	420	0	0	101	520	5308170	5307751	0.0	776	minus
22CCRAA000_G05_premix	refseq|NC_002947.4|chromosome	98.264	288	5	0	102	389	172155	172442	1.81e-143	505	plus
22CCRAA000_G05_premix	refseq|NC_002947.4|chromosome	98.264	288	5	0	102	389	177585	177872	1.81e-143	505	plus
22CCRAA000_G05_premix	refseq|NC_002947.4|chromosome	98.264	288	5	0	102	389	525715	526002	1.81e-143	505	plus
22CCRAA000_G05_premix	refseq|NC_002947.4|chromosome	98.264	288	5	0	102	389	698590	698877	1.81e-143	505	plus
22CCRAA000_G05_premix	refseq|NC_002947.4|chromosome	98.264	288	5	0	102	389	1326269	1326556	1.81e-143	505	plus
22CCRAA000_G05_premix	refseq|NC_002947.4|chromosome	98.264	288	5	0	102	389	2549456	2549743	1.81e-143	505	plus
22CCRAA000_G05_premix	refseq|NC_002947.4|chromosome	98.264	288	5	0	102	389	5311915	5311628	1.81e-143	505	minus
22CCRAA000_G06_premix	refseq|NC_002947.4|chromosome	98.598	642	8	1	104	744	526273	526914	0.0	1134	plus
22CCRAA000_G06_premix	refseq|NC_002947.4|chromosome	98.287	642	10	1	104	744	1326827	1327468	0.0	1123	plus
22CCRAA000_G06_premix	refseq|NC_002947.4|chromosome	98.131	642	11	1	104	744	172713	173354	0.0	1118	plus
22CCRAA000_G06_premix	refseq|NC_002947.4|chromosome	97.975	642	12	1	104	744	178143	178784	0.0	1112	plus
22CCRAA000_G06_premix	refseq|NC_002947.4|chromosome	96.685	362	11	1	384	744	5310799	5310438	4.42e-172	601	minus
22CCRAA000_G06_premix	refseq|NC_002947.4|chromosome	95.263	380	15	3	367	744	699624	700002	1.59e-171	599	plus
22CCRAA000_G06_premix	refseq|NC_002947.4|chromosome	94.947	376	18	1	370	744	2550493	2550868	3.44e-168	588	plus
22CCRAA000_G06_premix	refseq|NC_002947.4|chromosome	99.231	260	2	0	104	363	699148	699407	1.30e-132	470	plus
22CCRAA000_G06_premix	refseq|NC_002947.4|chromosome	99.231	260	2	0	104	363	2550014	2550273	1.30e-132	470	plus
22CCRAA000_G06_premix	refseq|NC_002947.4|chromosome	100.000	252	0	0	104	355	5311357	5311106	1.68e-131	466	minus
22CCRAA000_G07_premix	refseq|NC_002947.4|chromosome	100.000	75	0	0	164	238	171969	172043	1.25e-33	139	plus
22CCRAA000_G07_premix	refseq|NC_002947.4|chromosome	100.000	75	0	0	164	238	177399	177473	1.25e-33	139	plus
22CCRAA000_G07_premix	refseq|NC_002947.4|chromosome	100.000	75	0	0	164	238	525529	525603	1.25e-33	139	plus
22CCRAA000_G07_premix	refseq|NC_002947.4|chromosome	100.000	75	0	0	164	238	698404	698478	1.25e-33	139	plus
22CCRAA000_G07_premix	refseq|NC_002947.4|chromosome	100.000	75	0	0	164	238	1326083	1326157	1.25e-33	139	plus
22CCRAA000_G07_premix	refseq|NC_002947.4|chromosome	100.000	75	0	0	164	238	2549270	2549344	1.25e-33	139	plus
22CCRAA000_G07_premix	refseq|NC_002947.4|chromosome	100.000	75	0	0	164	238	5312101	5312027	1.25e-33	139	minus
22CCRAA000_G08_premix	refseq|NC_002947.4|chromosome	99.455	367	2	0	102	468	6071863	6072229	0.0	667	plus
22CCRAA000_H01_premix	refseq|NC_002947.4|chromosome	97.658	427	9	1	1	427	329703	330128	0.0	732	plus
22CCRAA000_H02_premix	refseq|NC_002947.4|chromosome	99.174	242	1	1	1	241	4740574	4740815	1.45e-122	435	plus
22CCRAA000_H03_premix	refseq|NC_002947.4|chromosome	85.542	415	54	6	100	513	1534979	1535388	1.51e-120	429	plus
22CCRAA000_H04_premix	refseq|NC_002947.4|chromosome	94.203	138	7	1	53	190	2391228	2391364	1.26e-54	209	plus
22CCRAA000_H04_premix	refseq|NC_002947.4|chromosome	94.565	92	5	0	220	311	4202278	4202369	1.29e-34	143	plus
22CCRAA000_H05_premix	refseq|NC_002947.4|chromosome	96.574	613	13	7	99	708	527926	528533	0.0	1009	plus
22CCRAA000_H05_premix	refseq|NC_002947.4|chromosome	96.411	613	14	7	99	708	174366	174973	0.0	1003	plus
22CCRAA000_H05_premix	refseq|NC_002947.4|chromosome	96.411	613	14	7	99	708	179796	180403	0.0	1003	plus
22CCRAA000_H05_premix	refseq|NC_002947.4|chromosome	96.411	613	14	7	99	708	701014	701621	0.0	1003	plus
22CCRAA000_H05_premix	refseq|NC_002947.4|chromosome	96.248	613	15	7	99	708	1328480	1329087	0.0	998	plus
22CCRAA000_H05_premix	refseq|NC_002947.4|chromosome	96.248	613	15	7	99	708	2551880	2552487	0.0	998	plus
22CCRAA000_H05_premix	refseq|NC_002947.4|chromosome	96.248	613	15	7	99	708	5309426	5308819	0.0	998	minus
22CCRAA000_H06_premix	refseq|NC_002947.4|chromosome	97.738	619	11	3	96	714	6113659	6113044	0.0	1062	minus
22CCRAA000_H07_premix	refseq|NC_002947.4|chromosome	99.845	645	1	0	103	747	4664827	4664183	0.0	1186	minus
22CCRAA000_H08_premix	refseq|NC_002947.4|chromosome	99.764	423	1	0	100	522	174745	175167	0.0	776	plus
22CCRAA000_H08_premix	refseq|NC_002947.4|chromosome	99.764	423	1	0	100	522	180175	180597	0.0	776	plus
22CCRAA000_H08_premix	refseq|NC_002947.4|chromosome	99.764	423	1	0	100	522	528305	528727	0.0	776	plus
22CCRAA000_H08_premix	refseq|NC_002947.4|chromosome	99.764	423	1	0	100	522	701393	701815	0.0	776	plus
22CCRAA000_H08_premix	refseq|NC_002947.4|chromosome	99.764	423	1	0	100	522	1328859	1329281	0.0	776	plus
22CCRAA000_H08_premix	refseq|NC_002947.4|chromosome	99.764	423	1	0	100	522	2552259	2552681	0.0	776	plus
22CCRAA000_H08_premix	refseq|NC_002947.4|chromosome	100.000	420	0	0	103	522	5309044	5308625	0.0	776	minus
22CCRAA000_H09_premix	refseq|NC_002947.4|chromosome	94.432	431	19	5	95	522	227152	226724	0.0	658	minus
22CCRAA000_H11_premix	refseq|NC_002947.4|chromosome	96.916	616	10	7	94	707	520408	521016	0.0	1024	plus
22CCRAA000_H12_premix	refseq|NC_002947.4|chromosome	95.906	513	17	4	1	512	309460	308951	0.0	828	minus
