DB Version,Assembly Accession,Chromosome/Plasmid Name,Chromosome/Plasmid Xref,PGD Gene ID,Locus Tag,Feature Type,Start,End,Strand,Gene Name,Gene synonyns,Product Name,Product Name Confidence Class,Product Synonyms,RefSeq Accession,Length (nucleotides),Length (amino acids),Molecular Weight (predicted),Isoelectric Point (predicted),Subcellular Localization [Confidence Class]
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822606,PP_0690,CDS,801516,802742,+,obg,,GTPase Obg,,,NP_742851.1 ; NP_742851.1,1227,408,44.8,4.78,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822608,PP_0691,CDS,802828,803946,+,proB,,glutamate 5-kinase,,,NP_742852.1 ; NP_742852.1,1119,372,39.7,7.04,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822610,PP_0692,CDS,803943,804404,+,,,hypothetical protein,,,NP_742853.1 ; NP_742853.1,462,153,16.6,7.68,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822612,PP_0693,CDS,804498,807329,-,,,hypothetical protein,,,NP_742854.1 ; NP_742854.1,2832,943,106.6,5.26,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822614,PP_0694,CDS,807326,808033,-,,,hypothetical protein,,,NP_742855.1 ; NP_742855.1,708,235,26.9,4.52,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822616,PP_0695,CDS,808023,809357,-,,,hypothetical protein,,,NP_742856.1 ; NP_742856.1,1335,444,51.1,7.79,Cytoplasmic [Class 3]
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822618,PP_0696,CDS,809434,810309,+,,,hypothetical protein,,,NP_742857.1 ; NP_742857.1,876,291,31.9,5.49,Unknown [Class 3]
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822620,PP_0697,CDS,810306,810761,+,rimI,,ribosomal-protein-S18-alanine N-acetyltransferase,,,NP_742858.1 ; NP_742858.1,456,151,17.3,5.56,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822622,PP_5455,CDS,810819,811394,+,,,hypothetical protein,,,YP_009236926.1 ; WP_049586371.1,576,191,21.0,8.50,Unknown [Class 3]
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822624,PP_0698,CDS,811334,812251,-,,,LysR family transcriptional regulator,,,NP_742859.1 ; NP_742859.1,918,305,34.2,7.22,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822626,PP_0699,CDS,812479,813093,+,,,LysE family transporter,,,NP_742860.1 ; NP_742860.1,615,204,21.6,10.33,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822628,PP_t70,tRNA,813224,813300,-,,,,,,,77,,,,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822630,PP_0700,CDS,813396,814382,-,,,transmembrane sensor,,,NP_742861.1 ; NP_742861.1,987,328,36.8,9.91,Periplasmic [Class 3]
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822632,PP_0701,CDS,814513,815727,+,fsr-I,,fosmidomycin efflux system,,,NP_742862.1 ; NP_742862.1,1215,404,42.9,9.77,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822634,PP_0702,CDS,816052,817209,+,,,MFS transporter,,,NP_742863.1 ; NP_742863.1,1158,385,40.7,8.07,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822636,PP_0703,CDS,817217,818167,-,,,transmembrane sensor,,,NP_742864.1 ; NP_742864.1,951,316,34.8,9.04,Periplasmic [Class 3]
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822638,PP_0704,CDS,818160,818675,-,,,ECF family RNA polymerase sigma-70 factor,,,NP_742865.1 ; NP_742865.1,516,171,19.5,9.50,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822640,PP_0705,CDS,818847,819473,+,,,DNA-3-methyladenine glycosylase,,,NP_742866.1 ; NP_742866.1,627,208,22.9,5.96,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822642,PP_0706,CDS,819521,820573,+,ada,,fused O(6)-alkylguanine DNA alkyltransferase/transcriptional activator,,,NP_742867.1 ; NP_742867.1,1053,350,38.3,9.28,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822644,PP_0707,CDS,820630,823041,+,,,hypothetical protein,,,NP_742868.2 ; WP_049586377.1,2412,803,86.5,9.34,Cytoplasmic Membrane [Class 3]
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822646,PP_0708,CDS,823173,824603,-,,,betaine-aldehyde dehydrogenase,,,NP_742869.1 ; NP_742869.1,1431,476,50.7,5.02,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822648,PP_0709,CDS,824617,826116,-,,,NCS1 family transporter,,,NP_742870.1 ; NP_742870.1,1500,499,52.4,8.55,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822650,PP_0710,CDS,826209,826598,-,,,hypothetical protein,,,NP_742871.2 ; WP_049586379.1,390,129,14.5,5.11,Unknown [Class 3]
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822652,PP_0711,CDS,826810,827430,+,ycaC-I,,putative hydrolase,,,NP_742872.1 ; NP_742872.1,621,206,23.0,5.43,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822654,PP_0712,CDS,827537,828352,+,ppkB,,polyphosphate kinase,,,NP_742873.1 ; NP_742873.1,816,271,31.3,9.88,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822656,PP_0713,CDS,828389,829585,+,kefB-I,,CPA2 family Kef-type potassium/proton antiporter,,,NP_742874.1 ; NP_742874.1,1197,398,41.9,6.38,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822658,PP_0714,CDS,829626,830723,+,,,PerM family transporter,,,NP_742875.1 ; NP_742875.1,1098,365,38.2,9.30,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822660,PP_0715,CDS,830727,832241,+,,,outer membrane efflux protein,,,NP_742876.1 ; NP_742876.1,1515,504,55.5,4.95,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822662,PP_0716,CDS,832238,833335,+,,,HlyD family secretion protein,,,NP_742877.1 ; NP_742877.1,1098,365,40.0,5.91,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822664,PP_0717,CDS,833325,834347,+,,,membrane protein,,,NP_742878.1 ; NP_742878.1,1023,340,36.3,10.83,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822666,PP_0718,CDS,834366,836078,-,,,sulfate transporter,,,NP_742879.1 ; NP_742879.1,1713,570,61.4,6.02,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822668,PP_0719,CDS,836255,837355,-,ychF,,ribosome-associated potassium-dependent ATP/GTPase,,,NP_742880.1 ; NP_742880.1,1101,366,40.0,4.96,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822670,PP_0720,CDS,837380,837964,-,pth,,peptidyl-tRNA hydrolase,,,NP_742881.1 ; NP_742881.1,585,194,20.9,9.47,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822672,PP_0721,CDS,838044,838697,-,rplY,,50S ribosomal protein L25/general stress protein Ctc,,,NP_742882.1 ; NP_742882.1,654,217,23.2,6.42,Cytoplasmic [Class 3]
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822674,PP_0722,CDS,838756,839697,-,prs,,ribose-phosphate pyrophosphokinase,,,NP_742883.1 ; NP_742883.1,942,313,34.2,5.70,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822676,PP_t69,tRNA,839746,839820,-,,,,,,,75,,,,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822678,PP_0723,CDS,839841,840701,-,ispE,,4-diphosphocytidyl-2C-methyl-D-erythritol kinase,,,NP_742884.1 ; NP_742884.1,861,286,30.9,5.98,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822680,PP_0724,CDS,840706,841323,-,lolB,,outer membrane lipoprotein LolB,,,NP_742885.1 ; NP_742885.1,618,205,22.9,7.83,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822682,PP_0725,CDS,841328,843049,-,,,TPR repeat-containing protein,,,NP_742886.1 ; NP_742886.1,1722,573,64.0,4.86,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822684,PP_0726,CDS,843518,844243,-,,,transferase,,,NP_742887.1 ; NP_742887.1,726,241,26.6,4.96,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822686,PP_0727,CDS,844240,844842,-,,,hypothetical protein,,,NP_742888.1 ; NP_742888.1,603,200,22.7,5.79,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822688,PP_0728,CDS,844839,846008,-,,,hypothetical protein,,,NP_742889.1 ; NP_742889.1,1170,389,43.3,7.74,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822690,PP_0729,CDS,846009,847199,-,,,hypothetical protein,,,NP_742890.1 ; NP_742890.1,1191,396,43.2,5.10,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822692,PP_0730,CDS,847259,848569,-,,,hypothetical protein,,,NP_742891.1 ; NP_742891.1,1311,436,48.1,5.74,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822694,PP_0731,CDS,848582,850417,-,pcs,,phosphatidylcholine synthase,,,NP_742892.2 ; NP_742892.2,1836,611,66001.8,9.60,Cytoplasmic Membrane [Class 3]
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822696,PP_0732,CDS,851222,852499,+,hemA,,glutamyl-tRNA reductase,,,NP_742893.1 ; NP_742893.1,1278,425,46.3,5.46,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822698,PP_0733,CDS,852496,853578,+,prfA,,peptide chain release factor 1,,,NP_742894.1 ; NP_742894.1,1083,360,40.3,5.02,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822700,PP_0734,CDS,853578,854408,+,prmC,,release factor-(glutamine-N5) methyltransferase,,,NP_742895.1 ; NP_742895.1,831,276,29.8,5.22,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822702,PP_0735,CDS,854402,855157,+,moeB,,molybdopterin synthase adenylyltransferase subunit,,,NP_742896.1 ; NP_742896.1,756,251,26.6,5.24,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822704,PP_0736,CDS,855150,855947,+,murI,,glutamate racemase,,,NP_742897.1 ; NP_742897.1,798,265,28.1,5.24,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822706,PP_0737,CDS,856052,856570,+,pagL-I,,lipid A 3-O-deacylase,,,NP_742898.2 ; WP_003247385.1,519,172,18.6,4.48,Unknown [Class 3]
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822708,PP_0738,CDS,856686,857384,-,,,hypothetical protein,,,NP_742899.1 ; NP_742899.1,699,232,25.6,4.82,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822710,PP_0739,CDS,857381,858823,-,phr,,deoxyribodipyrimidine photolyase,,,NP_742900.1 ; NP_742900.1,1443,480,55.0,8.32,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822712,PP_0740,CDS,858814,859713,-,,,MerR family transcriptional regulator,,,NP_742901.1 ; NP_742901.1,900,299,33.7,9.05,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822714,PP_0741,CDS,859703,860671,-,,,hypothetical protein,,,NP_742902.1 ; NP_742902.1,969,322,36.2,8.76,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822716,PP_0742,CDS,860775,861761,-,,,hypothetical protein,,,NP_742903.1 ; NP_742903.1,987,328,36.1,5.82,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822718,PP_0743,CDS,861948,862853,+,yfcH,,NAD(P)-binding Rossmann-fold domain-containing protein,,,NP_742904.1 ; NP_742904.1,906,301,33.1,9.49,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822720,PP_0744,CDS,862867,863883,+,hemH,,ferrochelatase,,,NP_742905.1 ; NP_742905.1,1017,338,37.8,6.31,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822722,PP_0745,CDS,863919,865184,-,uraA,,uracil permease,,,NP_742906.1 ; NP_742906.1,1266,421,43.8,9.32,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822724,PP_0746,CDS,865187,865825,-,upp,,uracil phosphoribosyltransferase,,,NP_742907.1 ; NP_742907.1,639,212,23.0,6.53,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822726,PP_0747,CDS,865988,866545,+,,,hypoxanthine-guanine phosphoribosyltransferase,,,NP_742908.1 ; NP_742908.1,558,185,20.8,5.72,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822728,PP_0748,CDS,866548,867021,+,,,hypothetical protein,,,NP_742909.1 ; NP_742909.1,474,157,17.2,5.96,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822730,PP_0749,CDS,867073,867543,+,,,hypothetical protein,,,NP_742910.1 ; NP_742910.1,471,156,17.3,9.64,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822732,PP_0750,CDS,867588,867902,+,,,hypothetical protein,,,NP_742911.1 ; NP_742911.1,315,104,11.9,4.63,Cytoplasmic [Class 3]
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822734,PP_0751,CDS,868079,869587,-,mqo-I,,malate:quinone oxidoreductase,,,NP_742912.1 ; NP_742912.1,1509,502,54.3,8.19,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822736,PP_5456,CDS,870189,870422,-,,,hypothetical protein,,,YP_009236927.1 ; WP_049586388.1,234,77,8.9,10.80,Unknown [Class 3]
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822738,PP_0753,CDS,870568,871152,+,,,lipoprotein,,,NP_742914.1 ; NP_742914.1,585,194,20.5,9.20,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822740,PP_0754,CDS,871227,871538,-,,,hypothetical protein,,,NP_742915.1 ; NP_742915.1,312,103,11.4,4.29,Unknown [Class 3]
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822742,PP_0755,CDS,871606,871854,+,,,hypothetical protein,,,NP_742916.1 ; NP_742916.1,249,82,9.3,8.23,Cytoplasmic Membrane [Class 3]
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822744,PP_0756,CDS,871890,873161,-,,,hypothetical protein,,,NP_742917.1 ; NP_742917.1,1272,423,47.8,8.26,Cytoplasmic [Class 3]
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822746,PP_0757,CDS,873182,873367,+,,,hypothetical protein,,,NP_742918.1 ; NP_742918.1,186,61,7.1,3.83,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822748,PP_5457,CDS,873367,873627,+,,,hypothetical protein,,,YP_009236928.1 ; WP_020192887.1,261,86,9.1,3.64,Unknown [Class 3]
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822750,PP_0758,CDS,873643,874263,+,,,hypothetical protein,,,NP_742919.1 ; NP_742919.1,621,206,23.1,8.81,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822752,PP_0759,CDS,874422,875261,+,,,hypothetical protein,,,NP_742920.1 ; NP_742920.1,840,279,29.7,6.95,Unknown [Class 3]
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822754,PP_0760,CDS,875307,875891,-,,,membrane protein,,,NP_742921.1 ; NP_742921.1,585,194,20.5,6.82,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822756,PP_mr65,ncRNA,875978,876119,-,,,,,,,142,,,,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822758,PP_0761,CDS,876160,877158,-,rsmC,,16S rRNA methyltransferase,,,NP_742922.1 ; NP_742922.1,999,332,35.8,6.32,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822760,PP_0762,CDS,877213,878178,-,hprA,,glycerate dehydrogenase,,,NP_742923.1 ; NP_742923.1,966,321,34.1,5.76,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822762,PP_0763,CDS,878472,880154,+,,,medium-chain-fatty acid CoA ligase,,,NP_742924.1 ; NP_742924.1,1683,560,62.1,5.47,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822764,PP_0765,CDS,880486,882372,+,,,hypothetical protein,,,NP_742926.1 ; NP_742926.1,1887,628,67.9,5.18,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822766,PP_0766,CDS,882398,883762,+,,,hypothetical protein,,,NP_742927.1 ; NP_742927.1,1365,454,50.6,9.17,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822768,PP_0767,CDS,884090,886807,+,,,LuxR family transcriptional regulator,,,NP_742928.1 ; NP_742928.1,2718,905,100.4,6.20,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822770,PP_0768,CDS,886967,888574,+,,,TPR domain-containing response regulator,,,NP_742929.1 ; NP_742929.1,1608,535,59.3,8.51,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822772,PP_0769,CDS,888571,889263,+,,,sensor histidine kinase,,,NP_742930.1 ; NP_742930.1,693,230,25.2,4.80,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822774,PP_0770,CDS,889457,889711,+,,,PemI-like protein,,,NP_742931.1 ; NP_742931.1,255,84,9.3,6.19,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822776,PP_0771,CDS,889708,890055,+,chpB,,mRNA interferase,,,NP_742932.1 ; NP_742932.1,348,115,12.2,9.76,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822778,PP_0772,CDS,890074,890718,+,,,metallo-beta-lactamase family protein,,,NP_742933.1 ; NP_742933.1,645,214,23.6,5.84,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822780,PP_0773,CDS,890837,891547,+,yiaD,,OmpA/MotB domain-containing protein,,,NP_742934.1 ; NP_742934.1,711,236,24.8,9.51,Outer Membrane [Class 3]
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822782,PP_0774,CDS,891627,893714,-,pta,,phosphate acetyltransferase,,,NP_742935.1 ; NP_742935.1,2088,695,74.6,5.36,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822784,PP_0775,CDS,893746,894048,-,,,hypothetical protein,,,NP_742936.1 ; NP_742936.1,303,100,11.3,5.78,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822786,PP_0776,CDS,894047,894532,+,slyD,,FKBP-type peptidyl-prolyl cis-trans isomerase,,,NP_742937.1 ; NP_742937.1,486,161,17.2,4.52,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822788,PP_0777,CDS,894678,895160,+,,,glutathione peroxidase,,,NP_742938.1 ; NP_742938.1,483,160,17.4,5.70,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822790,PP_0778,CDS,895224,896414,-,,,group 1 family glycosyl transferase,,,NP_742939.1 ; NP_742939.1,1191,396,44.0,9.63,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822792,PP_0779,CDS,896569,897909,+,,,methyl-accepting chemotaxis transducer/sensory box protein,,,NP_742940.1 ; NP_742940.1,1341,446,49.9,6.15,Cytoplasmic Membrane [Class 3]
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822794,PP_0781,CDS,898117,898452,+,,,hypothetical protein,,,NP_742942.1 ; NP_742942.1,336,111,12.4,6.24,Unknown [Class 3]
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822796,PP_0782,CDS,898925,899548,+,,,hypothetical protein,,,NP_742943.1 ; NP_742943.1,624,207,23.6,5.00,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822798,PP_0784,CDS,899891,900508,+,,,hypothetical protein,,,NP_742945.1 ; NP_742945.1,618,205,23.2,4.91,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822800,PP_0785,CDS,900553,901281,-,cysZ,,sulfate transport protein CysZ,,,NP_742946.1 ; NP_742946.1,729,242,27.3,9.30,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822802,PP_0786,CDS,901612,902574,+,trxB,,thioredoxin reductase,,,NP_742947.1 ; NP_742947.1,963,320,33.8,5.22,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822804,PP_0787,CDS,902650,903498,-,nadC,,quinolinate phosphoribosyltransferase,,,NP_742948.1 ; NP_742948.1,849,282,30.2,5.36,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822806,PP_0788,CDS,903742,905901,+,,,hypothetical protein,,,NP_742949.2 ; WP_049586400.1,2160,719,80.3,7.20,Cytoplasmic [Class 3]
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822808,PP_0789,CDS,905990,906562,+,ampD,,N-acetyl-anhydromuramyl-L-alanine-amidase,,,NP_742950.1 ; NP_742950.1,573,190,21.3,5.56,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822810,PP_0790,CDS,906559,907389,+,,,inner membrane protein AmpE,,,NP_742951.1 ; NP_742951.1,831,276,31.0,7.20,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822812,PP_0791,CDS,907434,908210,-,yjjV,,putative hydrolase,,,NP_742952.1 ; NP_742952.1,777,258,29.1,6.36,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822814,PP_0792,CDS,908213,909208,-,cra,,catabolite DNA-binding transcriptional regulator,,,NP_742953.1 ; NP_742953.1,996,331,36.2,6.25,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822816,PP_0793,CDS,909493,912345,+,fruB,,PTS fructose transporter subunit EI/HPr/IIA,,,NP_742954.1 ; NP_742954.1,2853,950,101.5,5.00,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822818,PP_0794,CDS,912346,913293,+,fruK,,1-phosphofructokinase monomer,,,NP_742955.1 ; NP_742955.1,948,315,33.2,5.72,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822820,PP_0795,CDS,913290,915032,+,fruA,,PTS fructose transporter subunit IIBC,,,NP_742956.1 ; NP_742956.1,1743,580,59.2,8.77,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822822,PP_0796,CDS,915180,915467,-,,,hypothetical protein,,,NP_742957.1 ; NP_742957.1,288,95,10.6,10.02,Unknown [Class 3]
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822824,PP_0797,CDS,915540,916079,+,,,hypothetical protein,,,NP_742958.1 ; NP_742958.1,540,179,20.0,6.80,Cytoplasmic [Class 3]
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822826,PP_0798,CDS,916076,917566,-,,,GGDEF domain-containing protein,,,NP_742959.1 ; NP_742959.1,1491,496,54.8,8.83,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822828,PP_0799,CDS,917765,919099,-,opdC,,histidine-specific outer membrane porin D,,,NP_742960.1 ; NP_742960.1,1335,444,49.1,5.12,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822830,PP_5458,CDS,919305,919529,-,,,hypothetical protein,,,YP_009236929.1 ; WP_049586405.1,225,74,7.6,4.56,Unknown [Class 3]
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822832,PP_0800,CDS,919720,920472,-,,,hypothetical protein,,,NP_742961.1 ; NP_742961.1,753,250,27.2,5.53,Cytoplasmic [Class 3]
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822834,PP_0801,CDS,920451,920762,-,,,hypothetical protein,,,NP_742962.2 ; WP_021781735.1,312,103,11.5,8.50,Unknown [Class 3]
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822836,PP_0802,CDS,920851,921750,-,,,chemotaxis protein,,,NP_742963.1 ; NP_742963.1,900,299,32.2,5.71,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822838,PP_0803,CDS,921843,923027,-,,,protein secretion ABC transporter permease,,,NP_742964.1 ; NP_742964.1,1185,394,43.5,6.00,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822840,PP_0804,CDS,923024,925192,-,,,protein secretion ABC transporter permease/ATP-binding protein,,,NP_742965.1 ; NP_742965.1,2169,722,79.6,8.96,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822842,PP_0805,CDS,925189,926625,-,,,outer membrane efflux protein,,,NP_742966.1 ; NP_742966.1,1437,478,51.8,5.73,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822844,PP_0806,CDS,926689,945621,-,,,surface adhesion protein,,,NP_742967.1 ; NP_742967.1,18933,6310,615.7,3.67,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822846,PP_0807,CDS,945812,947368,-,norR,,DNA-binding transcriptional regulator,,,NP_742968.1 ; NP_742968.1,1557,518,57.2,5.93,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822848,PP_0808,CDS,947524,948702,+,hmp,,flavohemoprotein,,,NP_742969.1 ; NP_742969.1,1179,392,43.1,5.42,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822850,PP_0809,CDS,949159,949665,+,dsbB,,disulfide bond formation protein B,,,NP_742970.1 ; NP_742970.1,507,168,18.3,8.72,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822852,PP_0812,CDS,950225,951166,+,cyoA,,cytochrome bo terminal oxidase subunit II,,,NP_742973.1 ; NP_742973.1,942,313,34.6,6.24,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822854,PP_0813,CDS,951170,953188,+,cyoB,,cytochrome bo terminal oxidase subunit I,,,NP_742974.1 ; NP_742974.1,2019,672,74.4,7.34,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822856,PP_0814,CDS,953192,953815,+,cyoC,,cytochrome bo terminal oxidase subunit III,,,NP_742975.1 ; NP_742975.1,624,207,22.8,6.16,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822858,PP_0815,CDS,953815,954147,+,cyoD,,cytochrome bo terminal oxidase subunit IV,,,NP_742976.1 ; NP_742976.1,333,110,12.3,8.22,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822860,PP_0816,CDS,954159,955046,+,cyoE,,protoheme IX farnesyltransferase,,,NP_742977.1 ; NP_742977.1,888,295,31.7,9.39,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822862,PP_0817,CDS,955359,956567,+,alaC,,aminotransferase,,,NP_742978.1 ; NP_742978.1,1209,402,45.0,7.73,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822864,PP_0818,CDS,956681,957808,+,,,hypothetical protein,,,NP_742979.2 ; WP_049586415.1,1128,375,41.8,6.67,Unknown [Class 3]
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822866,PP_0819,CDS,957970,958353,+,ykgJ,,ferredoxin,,,NP_742980.1 ; NP_742980.1,384,127,13.6,4.36,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822868,PP_0820,CDS,958546,959109,+,,,acetyltransferase,,,NP_742981.1 ; NP_742981.1,564,187,21.1,5.09,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822870,PP_5460,CDS,959196,959735,+,,,membrane protein,,,YP_009236930.1 ; WP_014589735.1,540,179,20.0,7.50,Cytoplasmic Membrane [Class 3]
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38822872,PP_0821,CDS,959732,960142,+,,,hypothetical protein,,,NP_742982.1 ; NP_742982.1,411,136,14.9,8.48,Unknown [Class 3]
